request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,IDR 15656000.00 of IDR 15656000.00 is safe to pay now while keeping the minimum balance protected.
request_27,0.00,not_affordable,not_recommended,none,,none,The requested ZAR 6670.00 cannot be completed safely while protecting the minimum balance.
request_28,427.92,affordable_later,wait,none,2024-07-15,none,The full EUR 1302.40 is not safe now but is expected to be safe from 2024-07-15 while protecting the minimum balance.
request_29,33251.98,not_affordable,not_recommended,none,,none,"Only ZAR 33251.98 is currently safe, so the requested ZAR 51524.00 should not proceed."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,The full USD 775.20 can be completed through the selected installment plan while protecting the minimum balance.
request_31,6009674.48,not_affordable,not_recommended,none,,none,"Only IDR 6009674.48 is currently safe, so the requested IDR 18164000.00 should not proceed."
request_32,0.00,not_affordable,not_recommended,none,,none,The requested ZAR 40018.00 cannot be completed safely while protecting the minimum balance.
request_33,46085.73,affordable_later,wait,none,2026-01-15,none,The full INR 118000.00 is not safe now but is expected to be safe from 2026-01-15 while protecting the minimum balance.
request_34,0.00,not_affordable,not_recommended,none,,none,The requested INR 129400.00 cannot be completed safely while protecting the minimum balance.
request_35,44549.82,affordable_later,wait,none,2026-01-15,none,The full INR 212000.00 is not safe now but is expected to be safe from 2026-01-15 while protecting the minimum balance.
request_36,863.87,affordable_later,wait,none,2026-07-15,none,The full USD 3954.00 is not safe now but is expected to be safe from 2026-07-15 while protecting the minimum balance.
request_37,5198407.80,affordable_later,wait,none,2024-05-15,none,The full IDR 14649000.00 is not safe now but is expected to be safe from 2024-05-15 while protecting the minimum balance.
request_38,222.33,affordable_later,wait,none,2025-09-15,none,The full EUR 971.30 is not safe now but is expected to be safe from 2025-09-15 while protecting the minimum balance.
request_39,84140.95,affordable_later,wait,none,2026-04-15,none,The full INR 208600.00 is not safe now but is expected to be safe from 2026-04-15 while protecting the minimum balance.
request_40,0.00,not_affordable,not_recommended,none,,none,The requested EUR 1290.30 cannot be completed safely while protecting the minimum balance.
request_41,11883997.75,affordable_later,wait,none,2025-11-15,none,The full IDR 38760000.00 is not safe now but is expected to be safe from 2025-11-15 while protecting the minimum balance.
request_42,52100.00,affordable_now,full_payment,2026-01-05:52100.00,2026-01-05,none,INR 52100.00 of INR 52100.00 is safe to pay now while keeping the minimum balance protected.
request_43,11056940.49,affordable_later,wait,none,2024-09-15,none,The full IDR 43339000.00 is not safe now but is expected to be safe from 2024-09-15 while protecting the minimum balance.
request_44,0.00,not_affordable,not_recommended,none,,none,The requested INR 95800.00 cannot be completed safely while protecting the minimum balance.
request_45,4803831.95,affordable_later,wait,none,2026-07-15,none,The full IDR 21983000.00 is not safe now but is expected to be safe from 2026-07-15 while protecting the minimum balance.
request_46,44130.37,affordable_with_plan,installments,2024-12-03:25714.00|2024-12-31:25714.00,2024-12-15,none,The full INR 49450.00 can be completed through the selected installment plan while protecting the minimum balance.
request_47,33088960.56,affordable_now,full_payment,2025-05-05:38114000.00,,stop:event_4339|stop:event_4340|stop:event_4341,IDR 33088960.56 of IDR 38114000.00 is safe to pay now while keeping the minimum balance protected.
request_48,45700.00,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,INR 45700.00 of INR 45700.00 is safe to pay now while keeping the minimum balance protected.
request_49,0.00,not_affordable,not_recommended,none,,none,The requested IDR 34333000.00 cannot be completed safely while protecting the minimum balance.
request_50,0.00,affordable_now,full_payment,2025-08-06:43900.00,,reduce_to:event_4680:1928.0,INR 0.00 of INR 43900.00 is safe to pay now while keeping the minimum balance protected.
request_51,2191000.00,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,IDR 2191000.00 of IDR 2191000.00 is safe to pay now while keeping the minimum balance protected.
request_52,22063.42,affordable_later,wait,none,2024-06-15,none,The full INR 28870.00 is not safe now but is expected to be safe from 2024-06-15 while protecting the minimum balance.
request_53,623.55,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,The full USD 1699.20 can be completed through the selected installment plan while protecting the minimum balance.
request_54,6607.67,affordable_later,wait,none,2026-09-15,none,The full ZAR 121528.00 is not safe now but is expected to be safe from 2026-09-15 while protecting the minimum balance.
request_55,129781.87,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,The full INR 218600.00 can be completed through the selected installment plan while protecting the minimum balance.
request_56,778.78,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-15,none,The full USD 881.56 can be completed through the selected installment plan while protecting the minimum balance.
request_57,12790.14,affordable_later,wait,none,2026-06-15,none,The full ZAR 61446.00 is not safe now but is expected to be safe from 2026-06-15 while protecting the minimum balance.
request_58,16226000.00,affordable_now,full_payment,2024-12-07:16226000.00,2024-12-07,none,IDR 16226000.00 of IDR 16226000.00 is safe to pay now while keeping the minimum balance protected.
request_59,140600.00,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,The full INR 140600.00 can be completed through the selected installment plan while protecting the minimum balance.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,USD 199.89 of USD 199.89 is safe to pay now while keeping the minimum balance protected.
request_61,29062.00,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,The full ZAR 29062.00 can be completed through the selected installment plan while protecting the minimum balance.
request_62,0.00,not_affordable,not_recommended,none,,none,The requested USD 404.23 cannot be completed safely while protecting the minimum balance.
request_63,67647.64,affordable_later,wait,none,2026-07-15,none,The full INR 343900.00 is not safe now but is expected to be safe from 2026-07-15 while protecting the minimum balance.
request_64,48591.56,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-15,none,The full INR 63700.00 can be completed through the selected installment plan while protecting the minimum balance.
request_65,8059.68,affordable_later,wait,none,2026-02-15,none,The full ZAR 54340.00 is not safe now but is expected to be safe from 2026-02-15 while protecting the minimum balance.
request_66,0.00,not_affordable,not_recommended,none,,none,The requested INR 22200.00 cannot be completed safely while protecting the minimum balance.
request_67,0.00,not_affordable,not_recommended,none,,none,The requested USD 2094.00 cannot be completed safely while protecting the minimum balance.
request_68,1629.68,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-15,none,The full USD 2091.60 can be completed through the selected installment plan while protecting the minimum balance.
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,EUR 529.10 of EUR 529.10 is safe to pay now while keeping the minimum balance protected.
request_70,61135.81,affordable_later,wait,none,2025-01-15,none,The full INR 243900.00 is not safe now but is expected to be safe from 2025-01-15 while protecting the minimum balance.
request_71,2217740.02,affordable_later,wait,none,2025-06-15,none,The full IDR 21451000.00 is not safe now but is expected to be safe from 2025-06-15 while protecting the minimum balance.
request_72,0.00,not_affordable,not_recommended,none,,none,The requested ZAR 11330.00 cannot be completed safely while protecting the minimum balance.
request_73,71400.00,affordable_now,full_payment,2023-01-20:71400.00,2023-01-20,none,INR 71400.00 of INR 71400.00 is safe to pay now while keeping the minimum balance protected.
request_74,0.00,not_affordable,not_recommended,none,,none,The requested ZAR 5010.00 cannot be completed safely while protecting the minimum balance.
request_75,28270.00,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,The full ZAR 28270.00 can be completed through the selected installment plan while protecting the minimum balance.
